"Story","Title","Result","Date","Stability","Duration (s)"
"Ejemplo de Automatización en APIs","Solicitud de consulta de comida para mascotas escenario correcto","SUCCESS","2021-08-08T16:51:03.734-05:00[America/Bogota]","0.0","5.44"
"Ejemplo de Automatización en APIs","Solicitud de consulta de comida para mascotas escenario incorrecto","SUCCESS","2021-08-08T16:51:09.189-05:00[America/Bogota]","0.0","1.71"
